r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.85,10.3,0.2,9.59,,
1.14,12.9,2.7,11.99,1.0113510256709044,12.057857379549311
1.42,16.4,1.8,13.861908238045727,1.009859470121672,13.930076160328579
1.71,18.6,2.1,15.652683476005,1.0083146447313958,15.71762202129771
1.99,19.8,2.0,17.53046491111973,1.0069907449416167,17.591633697907987
2.28,26.1,0.6,18.698804774637335,1.005968546788464,18.754524103064213
2.55,27.7,2.7,19.922020479860972,1.0050168450596666,19.97193080509522
2.84,29.7,2.6,20.791007671587252,1.0039946469065137,20.83249265065732
3.13,33.0,3.4,21.517811226981244,1.003329972777483,21.553608313726354
3.41,34.8,1.2,22.01645975174029,1.002694835614238,22.046105162719645
3.7,35.0,0.9,21.924235448471173,1.002037014980877,21.94655408642982
3.98,39.0,10.2,21.89594711356419,1.001634300007222,21.913832082459074
4.26,35.9,5.4,22.723540657212734,1.001348931741666,22.738861744816393
4.55,40.0,4.1,24.82737400531921,1.0010533717523402,24.840446790830573
4.84,38.7,1.4,27.12151175727489,1.0008294474955395,27.13275736084997
5.12,41.8,0.5,28.330981274922337,1.0007496426363598,28.341598341290492
5.41,42.9,0.4,28.895406209292158,1.000666987603638,28.905041041853334
5.68,44.4,1.7,29.920482950647706,1.0005900329180004,29.929308683903077
5.97,46.1,1.3,30.779416823585205,1.0006502967481528,30.789423074426697
6.26,49.0,0.9,31.710763157010273,1.0007161469833685,31.722115908501962
6.54,51.9,0.6,32.47910867003588,1.0007797265208183,32.491768613894536
6.83,53.1,2.1,32.45592241795016,1.0009102030120964,32.470689797558705
7.1,54.0,0.5,32.57555218258011,1.0010630571524983,32.59286242023125
7.39,55.9,1.1,32.749064108765,1.0012272338218189,32.76915332666655
7.68,58.8,3.6,33.319059110365046,1.0014168032925594,33.34265403230862
7.96,57.3,4.6,33.76046504419037,1.0016524994491054,33.7883481047033
8.25,54.0,9.0,34.0532670972992,1.001896613325528,34.08554474007443
8.52,63.8,12.0,33.90553494637712,1.0021238917621973,33.94152169170694
8.81,60.5,6.2,34.00629500548391,1.0024249324367218,34.04750152375981
9.1,61.0,5.7,34.217640187482246,1.002729377371598,34.264304794267545
9.38,66.0,1.3,34.77264729640238,1.0030233242052713,34.82517211959747
9.67,65.2,3.4,35.80586125203526,1.0033735578998777,35.86620697298572
9.96,67.1,4.7,35.81432115788319,1.0037497210721709,35.88140518749047
10.23,67.5,9.3,36.23216526789422,1.0040999419567198,36.306364180161786
