r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.25,4.25,2.0,3.433846240005513,,
0.41,6.84,2.0,5.14463798532025,,
0.57,9.56,2.0,6.788225099390856,1.0074531105624922,6.813474835553416
0.74,12.3,2.0,9.051143574156804,1.0066626917412398,9.081246006361457
0.9,15.1,2.0,10.940100547984008,1.0059562010410998,10.97263289673745
1.07,17.5,2.0,13.004526135157713,1.0052824480800844,13.038828761421529
1.24,19.7,2.0,14.983167221919402,1.0046086951190687,15.017653957704706
1.4,21.8,2.0,16.537185371156724,1.004052272090411,16.57065808267365
1.57,24.4,2.0,17.883402920026153,1.0034787219899453,17.914481608458797
1.72,27.3,2.0,19.01036822368257,1.0030113022174239,19.038969689946295
1.89,30.3,2.0,20.057180759019946,1.002663635526813,20.083875504192395
2.06,32.6,2.0,20.81237372334064,1.0023159688362022,20.836460190004644
2.46,33.3,2.0,21.81966544198146,1.001826987972966,21.8395884795148
2.79,34.6,2.0,22.22540213359479,1.0016679103077013,22.243929400014505
3.13,34.2,2.0,21.403518402356188,1.0016894921722743,21.421591310468415
