r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.87,39.6,4.9,48.19,,
1.74,73.0,5.2,61.47667037177599,1.0067838040258026,61.68484076369851
2.61,89.4,6.6,74.58906756355117,1.0037655074617178,74.72936845687232
3.5,102.0,5.3,84.6387293146583,1.001810909946879,84.71533120896507
4.37,110.0,4.4,89.74743673219866,1.0009276851062021,89.78905576228577
5.24,116.0,4.4,101.51681486335158,1.0007463383465542,101.55469074349055
6.11,123.0,4.4,109.26379089158493,1.0010555225260627,109.32144087916654
6.98,130.0,3.9,106.4420762668598,1.0016935435240402,106.53217028293518
7.85,134.0,6.1,101.80751445743088,1.0025770984807927,101.93861404306399
8.72,134.0,4.9,97.17928277158666,1.0036576699668138,97.35684542538498
