r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.25,3.17,3.22,6.533306972735936,,
0.5,10.5,3.32,13.589385563740548,1.0068090322284478,13.63557235741399
0.75,17.5,4.47,18.713508489858334,1.0057588283823207,18.767315077252743
1.0,22.7,4.96,25.25998020585131,1.0047818923330953,25.320303429906684
1.26,29.7,5.29,30.606306539665972,1.003906451952922,30.66602930346692
1.5,34.5,4.7,31.54714725613078,1.0032086364973907,31.59771838656273
1.76,36.0,3.51,32.08111282359139,1.0025507205315887,32.12200174272341
2.01,37.3,3.45,31.11529527418951,1.0021615882793473,31.148906349454297
2.26,35.6,3.57,31.74703923202918,1.0018566609238557,31.776497308550237
2.51,34.9,3.88,33.65059434839153,1.0017721911070665,33.68039879147032
2.76,32.7,3.27,36.3584515621884,1.0017267247711925,36.38982854265538
3.01,32.8,3.21,38.39673163174178,1.001868172474121,38.4325807550332
3.27,33.2,3.21,39.245815063519835,1.0020628089786219,39.28627252011037
3.51,32.1,3.23,39.91912448939731,1.0023456474750612,39.96591516364467
3.76,30.1,3.16,39.94081871970078,1.0027005284543615,39.99471301718342
4.02,32.3,3.16,39.76549760785095,1.0031474286028055,39.828027976325764
4.26,33.6,3.12,39.41788933974015,1.0036318434419735,39.48940426728207
4.52,35.1,3.12,39.323278093261756,1.0041989833846443,39.40575050455377
4.77,35.3,3.12,39.529616744916716,1.0048556531791808,39.62547158097489
5.02,35.2,3.13,39.62852507979574,1.0055353702708676,39.73805299937047
5.27,34.6,3.11,39.065094393844745,1.006322792185255,39.18840002876542
5.52,33.0,3.11,38.25611062301028,1.0071224705991229,38.39210790508818
