r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.12,6.48,2.6,2.296867431960321,,
0.19,8.6,2.65,2.2887769659798662,,
0.26,10.2,3.03,3.2727358585745967,,
0.33,11.7,3.55,4.2304136913545465,,
0.4,12.7,3.75,5.115310352266029,1.0077835490280187,5.135179398744191
0.47,14.1,3.43,6.122360655825497,1.007467225678436,6.1451766663190845
0.55,16.0,3.33,7.487062174177533,1.0071057132789132,7.513615546069289
0.62,18.1,2.66,8.782767217682592,1.0067893899293305,8.812531598296756
0.69,21.2,3.78,10.003929228058343,1.0064730665797479,10.03625505061564
0.76,21.6,3.33,11.087474915416944,1.0061614574586086,11.121579964395679
0.83,23.3,3.09,12.301174740649772,1.0058840264936846,12.337311879684131
0.9,24.5,3.26,13.121528112228392,1.0056065955287607,13.158260249055216
0.97,24.4,3.29,13.838410313327177,1.0053291645638367,13.875234900376931
1.04,25.3,2.78,14.451608906969495,1.0050517335989126,14.488065761529361
1.11,25.4,2.78,14.973459854021716,1.0047743026339886,15.009161206906336
1.19,25.9,2.73,15.400422072138154,1.0044863413781862,15.43492918816567
1.26,26.7,2.67,15.612280422795383,1.0042413873439364,15.645354254467657
1.33,27.1,3.16,15.824139787046876,1.0039964333096867,15.855728317823143
1.4,28.6,3.34,15.94420898006546,1.003751479275437,15.974088168285139
1.48,28.9,3.21,16.067535591994186,1.003471531807723,16.095400909552176
1.55,30.4,4.14,16.175057959710685,1.0032871563688668,16.201621120698924
1.62,30.8,4.35,16.377438749694655,1.0031324839832358,16.40306972551862
1.69,30.5,4.56,16.390109822694903,1.0029778115976051,16.414495012122387
1.75,33.0,4.04,16.393291310777098,1.0028452352670643,16.416596130917966
1.83,32.1,4.35,16.497639225052776,1.0026684668263435,16.519636261731257
1.9,32.9,4.36,16.5072105456979,1.0025337838882367,16.528110167352402
1.97,34.2,4.9,16.51361862221603,1.0024450766794355,16.533794828545908
2.04,32.6,3.98,16.516830809813364,1.0023563694706343,16.53627923757019
2.11,33.7,4.73,16.617957154837054,1.0022676622618332,16.63678844228687
2.19,33.8,4.67,16.52973381515867,1.0021662825946318,16.547628166674663
2.26,34.9,3.74,16.532973114355446,1.002082010225579,16.550175074888227
2.33,36.1,5.47,16.54272347589719,1.0020502167935494,16.559672877599102
2.4,37.2,5.39,16.175104327329702,1.0020184233615201,16.19142020261867
2.48,37.6,7.1,15.723323440036461,1.0019820880106294,15.738898231643885
2.55,35.6,4.73,15.232202729743324,1.0019502945785999,15.247049135754981
2.62,38.3,7.78,14.774254634329273,1.0019185011465703,14.788420055718316
