galaxy,N,chi2_over_N
CamB,8,0.22671932267461473
D631-7,13,2.6927307903790925
DDO064,13,1.4106236468959221
DDO154,6,1.8486655159846173
DDO161,24,1.5715051967183167
DDO168,9,2.5739120181503665
DDO170,8,3.769040442769767
ESO079-G014,13,2.5676330256644735
ESO116-G012,14,5.510298633689151
ESO444-G084,5,3.8910677182337396
ESO563-G021,27,3.3714205469182597
F563-1,17,8.810295538806944
F563-V2,9,6.019779933212873
F565-V2,7,6.027066287635492
F568-1,10,9.76032376225347
F568-3,16,4.353943858124882
F568-V1,13,8.992725295516692
F571-8,9,7.084426666363313
F571-V1,6,4.797260074621028
F574-1,12,7.230704407753598
F579-V1,13,4.327644200884135
F583-1,22,5.871310977573118
F583-4,10,2.2168077388539147
IC2574,33,2.0452011196697337
IC4202,30,1.0035219484125697
KK98-251,13,0.5763086417566582
NGC0024,25,3.608695172616955
NGC0055,19,2.817183051630989
NGC0100,20,3.2924890673592637
NGC0247,25,4.5699619770760185
NGC0289,7,1.2331737015008621
NGC0300,25,5.39821199835094
NGC0801,6,5.51878701408796
NGC0891,11,13.368802855648813
NGC1003,18,3.7649727232104317
NGC1090,20,1.347101407031022
NGC1705,5,2.968492577363663
NGC2366,18,1.5248367011981
NGC2403,44,0.5844222434735463
NGC2683,6,0.9878056684748865
NGC2841,34,2.571522639405457
NGC2903,18,11.204856111228503
NGC2915,6,1.6911928811004122
NGC2955,21,2.6924677644344577
NGC2976,24,0.07303703503993692
NGC2998,7,0.4232479263707661
NGC3109,23,5.749278183542363
NGC3198,29,1.2895671036650826
NGC3521,38,3.878676839373257
NGC3726,11,2.581166178484598
NGC3741,6,0.8498849613642276
NGC3769,6,2.354776509905211
NGC3877,12,1.4857003504019666
NGC3893,9,2.185929630751114
NGC3917,16,2.3749464060838354
NGC3949,7,2.942869694435801
NGC3953,8,0.5540775174505277
NGC3972,9,1.734453379538207
NGC3992,9,3.3341710720275253
NGC4010,11,1.2878367428053703
NGC4013,30,2.1770633863797504
NGC4051,7,2.023791306347701
NGC4085,7,5.144051272900582
NGC4088,12,6.007884184432156
NGC4100,24,1.8168429697894986
NGC4138,3,1.5904393868571562
NGC4157,17,2.9465983168316154
NGC4183,22,4.394137989104466
NGC4214,9,3.1475388068705303
NGC4217,18,8.815544884218603
NGC4559,23,1.2577275253969475
NGC5005,16,2.6609214032020376
NGC5033,8,3.819713190674035
NGC5055,12,12.417059011460033
NGC5371,18,2.010338490128698
NGC5585,20,3.7531955958185454
NGC5907,16,1.9961479756559068
NGC5985,33,6.409838859495505
NGC6015,26,1.306113092825488
NGC6195,21,2.200777917202637
NGC6503,10,1.4932480168753541
NGC6674,9,3.606516225950701
NGC6946,56,1.4492804972374673
NGC7331,19,11.038279265341254
NGC7793,36,0.4967341222926193
NGC7814,15,3.120161066264563
UGC00128,21,16.53545979362417
UGC00191,8,3.6897122746144246
UGC00731,12,7.231692113843612
UGC01230,8,5.635284118821366
UGC01281,22,2.2706701048797657
UGC02259,8,8.68086849068338
UGC02455,8,9.598410927124874
UGC02487,11,4.926452606540783
UGC02885,11,1.6029561273389492
UGC02916,38,2.1766792157907164
UGC02953,74,1.8211823122831745
UGC03205,41,0.9214229563976679
UGC03546,19,6.228756712848132
UGC03580,34,7.148212409733076
UGC04278,22,4.163006270163046
UGC04305,21,0.19785510051213887
UGC04325,8,6.759611250337182
UGC04483,8,0.4342801908953608
UGC04499,9,2.3878655619302225
UGC05005,7,1.544858823531407
UGC05253,56,1.7041874949374862
UGC05716,6,4.816348902021233
UGC05721,16,4.631104987277863
UGC05750,10,1.7714547373560539
UGC05764,10,5.354589937418792
UGC05829,10,2.671319608481489
UGC05918,7,2.616686669346758
UGC05986,14,6.785203301450349
UGC06399,9,4.398360658549809
UGC06446,16,7.942837604677691
UGC06614,12,2.7364431710548183
UGC06628,7,0.32931359917251185
UGC06667,8,13.032133291098976
UGC06786,35,2.22523757199727
UGC06787,55,3.6290365465436403
UGC06818,8,1.9001435894533594
UGC06917,11,4.144614516566342
UGC06930,10,3.908823932507418
UGC06973,5,36.301370626574574
UGC06983,9,5.615006248840191
UGC07089,12,0.9374351352841295
UGC07125,10,0.9762220942012082
UGC07151,11,1.2113582833706162
UGC07261,7,2.2205981607569503
UGC07323,9,0.6616762513583577
UGC07399,6,9.736132152050732
UGC07524,27,4.804328365884012
UGC07559,7,0.35819427471384696
UGC07577,8,0.03142961587798438
UGC07603,12,3.7726224264160044
UGC07608,8,4.5487171098486545
UGC07690,6,0.7761084053676915
UGC07866,7,0.4182067440020591
UGC08286,16,8.454318970450203
UGC08490,13,3.580626442775324
UGC08550,10,3.79168958837854
UGC08699,35,2.2793945737812704
UGC08837,8,0.43864179154423993
UGC09037,19,4.316727134393426
UGC09133,39,1.6774946190451272
UGC10310,7,2.4431693910038987
UGC11455,33,1.9912026465971873
UGC11557,11,2.2632422025402654
UGC11820,6,7.239251086667747
UGC11914,59,0.3346282791732349
UGC12506,30,6.954572070964372
UGC12632,14,4.606319670982603
UGC12732,13,7.398318470548481
UGCA442,8,4.338654974452823
UGCA444,32,1.5484629391394356
