r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.0054350890802033,13.087628598000952
0.9,17.8,2.22,20.57645499108143,1.0040924007165613,20.618515552424842
1.35,26.0,2.35,26.643340631384795,1.0032313533792483,26.686352936811705
1.8,30.9,2.22,28.40977472631559,1.003119909929482,28.454058182247163
2.25,34.7,1.82,28.156995578363823,1.0035956736032854,28.207571838102826
2.69,38.8,1.81,27.869512015821158,1.0045812329606065,27.933277431738343
3.14,42.5,1.57,27.03890715247197,1.0061599252072975,27.122058120999377
3.59,45.6,1.59,26.289056658617476,1.0081531138895956,26.396007941149943
4.04,48.8,1.83,25.52609057415569,1.0105598342118827,25.660512280614405
4.49,51.8,1.91,24.616459940454476,1.0134871000801042,24.781906290361334
4.94,54.8,2.19,23.785779364990336,1.0167298786092067,23.98392068304397
5.39,56.6,2.73,22.912599154177162,1.020357904039828,23.14465033306267
5.84,58.4,3.27,22.092193191261025,1.0239918692330132,22.35563892303708
