r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.44,15.7,9.1,12.435191996909417,,
1.32,44.5,9.1,28.995382390994603,,
2.2,69.4,9.1,36.38259473979282,1.0150388932271166,36.655150807222995
3.08,90.0,11.4,40.30488059776384,1.0112307443449269,40.53057559124935
3.96,105.0,9.88,41.270592435776834,1.0074225954627372,41.42347671681524
4.84,113.0,16.2,43.26330546779799,1.0054722480399685,43.38151773600114
5.53,117.0,24.8,45.29266717692832,1.0040290607224018,45.383818908425894
7.48,124.0,9.1,54.511401559673736,1.0015061112988484,54.55243623369297
8.37,127.0,9.1,58.26059474464709,1.00082998597005,58.284767468054504
9.24,130.0,9.1,60.92511140736634,1.0005297327415934,60.94124628400499
10.13,133.0,9.1,63.04616800409046,1.000261581764751,63.05441332886272
13.23,142.0,23.8,68.87459400969271,1.000611424475419,68.89564659842348
