r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.42,35.7,9.1,15.483607460795433,,
1.47,83.3,9.3,40.92651951974417,1.0131799314449574,41.19534101778592
2.11,94.2,10.4,48.84802964296513,1.0100743075693894,49.093468073874625
2.84,97.6,9.1,53.605969816803054,1.0066699218709623,53.78444652023851
3.9,101.0,9.1,57.91132963419162,1.0038026801486535,58.02133428708591
4.74,105.0,16.7,63.96273055459718,1.0022591828553875,64.0349415452744
5.69,106.0,9.1,69.23770071283418,1.0010220622331492,69.27307429614594
6.32,108.0,11.5,71.41734313176316,1.0007129007831452,71.4427953362716
7.37,110.0,23.0,74.55555780758401,1.0004240772882762,74.57136479130642
8.21,112.0,19.7,75.48106650014955,1.0004535982434486,75.4981835988872
9.16,113.0,9.1,77.29093737301936,1.0007864308532737,77.32132338898263
10.85,114.0,9.1,77.96495238246479,1.0016859086080039,78.03064559810757
12.21,114.0,9.1,75.47465799856266,1.0027073334789078,75.57675647581902
15.16,114.0,11.2,71.64346795067922,1.0055780866258153,71.8430068115806
