galaxy,N,chi2_over_N
CamB,8,0.22671932267461473
D631-7,13,2.6927307903790925
DDO064,13,1.4106236468959221
DDO154,6,1.8486655159846173
DDO161,24,1.5715051967183167
DDO168,9,2.5739120181503665
DDO170,8,3.769040442769767
ESO079-G014,13,2.5676330256644735
ESO116-G012,14,5.510298633689151
ESO444-G084,5,3.8910677182337396
ESO563-G021,27,3.3714205469182597
F563-1,17,8.810295538806944
F563-V2,9,6.019779933212873
F565-V2,7,6.027066287635492
F568-1,10,9.76032376225347
F568-3,16,4.353943858124882
F568-V1,13,8.992725295516692
F571-8,9,7.084426666363313
F571-V1,6,4.797260074621028
F574-1,12,7.230704407753598
F579-V1,13,4.327644200884135
F583-1,22,5.871310977573118
F583-4,10,2.2168077388539147
IC2574,33,2.0452011196697337
