r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.45,8.41,1.58,13.052206709978202,1.005101847353263,13.085459534356696
0.9,17.8,2.22,20.57645499108143,1.0038106423215905,20.615622468357806
1.35,26.0,2.35,26.643340631384795,1.003114344846052,26.684796654676596
1.8,30.9,2.22,28.40977472631559,1.0030690575330194,28.45333694475009
2.25,34.7,1.82,28.156995578363823,1.003653512576064,28.20838465222547
2.69,38.8,1.81,27.869512015821158,1.0047378289008841,27.935454491814824
3.14,42.5,1.57,27.03890715247197,1.0062868376665883,27.123768593894482
3.59,45.6,1.59,26.289056658617476,1.0083293693130164,26.398315247532
4.04,48.8,1.83,25.52609057415569,1.0107862385087414,25.663386590815243
4.49,51.8,1.91,24.616459940454476,1.013687424486532,24.78435534737279
4.94,54.8,2.19,23.785779364990336,1.01690278257674,23.985959935966687
5.39,56.6,2.73,22.912599154177162,1.020534805762734,23.14665656590432
5.84,58.4,3.27,22.092193191261025,1.0241832046827737,22.357727429090325
6.29,58.5,3.95,21.303694515271285,1.0276835362929815,21.596562248871347
