galaxy,N,chi2_over_N
CamB,8,0.22643757968204303
D631-7,14,3.054033593909865
DDO064,13,1.4106667988019104
DDO154,7,2.2404087427953123
DDO161,24,1.5710416489380172
DDO168,9,2.5739936715500615
DDO170,8,3.7687671080288565
ESO079-G014,13,2.567386244062469
ESO116-G012,14,5.509551051829351
ESO444-G084,5,3.893314590773035
ESO563-G021,27,3.3698564948651457
F563-1,17,8.81040870118675
F563-V2,9,6.0200323990211935
F565-V2,7,6.027672953494699
F568-1,10,9.763070503453223
F568-3,16,4.354908029317177
F568-V1,14,8.364664551352538
F571-8,9,7.08406309971103
F571-V1,7,5.454169209959259
F574-1,12,7.23260071638942
F579-V1,13,4.328936792435095
F583-1,23,5.617643783837468
F583-4,10,2.217002482916116
IC2574,33,2.0452556524272314
IC4202,30,1.000970986323808
KK98-251,14,0.5371143206685974
NGC0024,25,3.608149874361919
NGC0055,19,2.8187874200068155
NGC0100,20,3.291497630327902
NGC0247,25,4.571272759084302
NGC0289,7,1.2341532579279164
NGC0300,25,5.397729218282214
NGC0801,6,5.516787692662319
NGC0891,11,13.50389311875273
NGC1003,18,3.7637750217811234
NGC1090,20,1.3449050978482902
NGC1705,5,2.9751643672037162
NGC2366,18,1.5245668645394486
NGC2403,45,0.6897727095913881
NGC2683,7,1.0907385927529838
NGC2841,34,2.570188841645042
NGC2903,18,11.203443575613539
NGC2915,7,2.005104369080403
NGC2955,21,2.6902714967587023
NGC2976,25,0.08141621412148486
NGC2998,7,0.42364186995228065
NGC3109,24,5.523954834596801
NGC3198,30,1.3378655988377475
