r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.39,17.4,30.4,12.30018699044856,,
1.18,46.3,37.1,29.12108686158537,1.0124360595083273,29.301603152430157
1.95,69.1,13.1,34.879296151155344,1.008570561072853,35.02844482992021
2.74,85.2,6.2,37.08001213592034,1.0056204842918819,37.18406993985636
3.53,93.2,6.2,41.37856449902534,1.0034061146294724,41.448974660665996
4.3,100.0,12.4,44.97301968958722,1.0020047801244456,45.01807762608539
5.09,108.0,6.2,46.422288827674144,1.0011305185855475,46.44852204563501
5.87,112.0,6.2,46.55347570267981,1.0006602376166107,46.56884134477602
6.4,113.0,24.9,47.139547091587545,1.0005073065048549,47.15150267493124
7.44,113.0,15.5,48.83667883875806,1.000541844258344,48.849907983979335
8.21,112.0,13.1,50.11723256525644,1.0008111620034243,50.137555042273405
9.0,111.0,26.4,50.10559350012731,1.0012080567579835,50.1358495655446
9.72,111.0,19.4,50.89229902450861,1.001685831028942,50.93517886849078
11.79,113.0,12.5,53.23425400998872,1.0035229692530643,53.327942886821496
17.63,118.0,14.6,48.939710869599544,1.0110655277306748,49.209737791007974
