r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.47,15.3,4.4,12.992405473968244,,
1.41,41.0,4.36,32.891774047624736,1.015979417219865,33.15352821242944
2.35,60.7,4.4,41.172943785937875,1.0112644935388178,41.404190569745246
3.29,74.9,4.4,42.566806316659466,1.0076842213036428,42.73003971633275
4.22,83.0,6.28,44.701026833843535,1.004967940992836,44.81192530203717
5.17,86.8,4.4,47.33704785894448,1.003003051824383,47.40807238030434
6.11,89.4,4.4,49.95313904050475,1.0018124297465059,49.99838682524242
7.05,92.5,4.4,51.06229626642343,1.0010071141279007,51.088002575741854
7.99,94.7,4.4,52.661821085108706,1.000528448850759,52.675733786729324
8.92,96.3,4.4,52.706065115885856,1.0003574724477378,52.71548475719932
9.87,97.8,4.4,54.40236851461524,1.0003240326235658,54.41118187181824
10.79,98.8,4.62,56.197054193258204,1.0004172242775078,56.20877635835967
11.8,99.5,4.4,57.813621232370494,1.0006997072401687,57.83384400016315
12.6,99.7,5.14,58.48278806623364,1.0009904678815247,58.511743559737376
