r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.41,15.0,4.1,13.301372109673498,1.0089026165362716,13.36044942300238
0.82,23.4,1.3,22.071746645881923,1.0071077437982,22.15004791607049
1.24,29.2,1.5,25.138022993067693,1.0052469117995455,25.20388520751813
1.64,36.2,1.1,25.762765767673315,1.003847928724583,25.8122848201757
2.06,44.0,1.1,27.735754902291735,1.0027212523518532,27.773467257642498
2.47,52.1,1.2,28.32203735609428,1.0019772560999596,28.35002348955038
2.89,52.9,1.7,28.554554803043242,1.0015070452137476,28.576063205133746
3.3,54.8,2.2,28.506204587773517,1.0013163764484982,28.52496086540072
3.71,55.0,2.5,28.488123841348344,1.001351452411558,28.507367513649797
4.12,52.0,2.7,28.01935937882949,1.001590615857103,28.04163454320853
