r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.41,33.2,11.6,29.034231520741166,,
0.98,50.4,11.8,47.803850263341765,1.0162176585924458,48.18992451517736
1.78,53.9,9.75,62.455829191517424,1.0121273733173424,62.8334004825187
2.69,67.6,5.1,75.96270729772604,1.008449647121132,76.28296124808251
3.36,81.7,5.06,82.7209556279423,1.0061549571066708,82.97513707580659
4.39,102.0,5.35,87.36533065238179,1.0036515117259648,87.52469307116868
5.65,116.0,6.44,92.71797506416974,1.0018676240190834,92.80451583522779
6.34,132.0,9.1,96.73140389759676,1.0011910380792022,96.78899214799812
6.89,137.0,5.25,101.22834484471234,1.000836040668537,101.27065151058588
8.34,154.0,4.2,115.10685904845114,1.0003606599255654,115.12761439282285
10.04,163.0,3.28,130.9806523880531,1.0004147744502148,131.00781328597495
11.65,170.0,2.41,136.90796397580382,1.0008809744068898,136.96825690577614
13.36,175.0,2.18,137.8288072211321,1.0016898302796189,137.94521171185406
15.06,177.0,2.23,134.42007476563907,1.0027640544060232,134.60571877158557
16.67,178.0,2.03,130.66190339957552,1.0039233524291846,130.91796883475504
