r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.28,11.9,7.89,6.2921300050142,,
0.87,34.8,7.89,17.881680569789854,1.007403447214455,17.947751546150133
1.46,58.5,8.68,27.78001619869938,1.0049516542999553,27.848709785315844
2.05,81.5,14.2,35.88963081448456,1.00318250497718,35.94669491320356
2.35,91.8,17.5,38.599762952640006,1.0024908103273678,38.6478053991884
4.76,114.0,8.68,48.02736719829643,1.0013250012831763,48.059174827079694
7.86,116.0,8.68,53.59752326367329,1.005757067513782,53.75158412719544
8.7,117.0,16.6,56.32932628746771,1.007558453261848,56.54180682725545
10.18,118.0,51.9,54.93775568768714,1.0112250750347658,55.245235439734564
10.47,118.0,40.3,54.70935294810203,1.012116974668143,55.03981084664974
