r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.22,12.4,7.0,38.3010508994205,1.0048807922937724,38.394406862348994
0.78,37.5,4.0,85.73158694436958,1.0034797213023006,85.88061842463867
1.33,56.5,4.0,104.07309931005226,1.0026299584771403,104.20986341300514
2.33,69.1,4.0,114.57450894505287,1.0032764030580756,114.76205159009301
3.44,85.5,7.5,107.55394228014146,1.0065640236008282,107.90635821717296
3.78,87.1,8.4,103.95592383313227,1.0079597359348638,104.36883464774282
4.77,105.0,4.0,92.41437821031963,1.0130398451587594,93.01496126528887
5.44,112.0,6.7,86.89113015722607,1.017317919484644,87.64028741615668
6.11,116.0,4.0,81.96657184486857,1.0220561556238499,82.86557547269058
7.22,124.0,4.0,76.94565484808093,1.0313747571313971,78.14340821552987
