r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.85,10.3,0.2,9.59,1.011126861957176,9.643205709366764
1.14,12.9,2.7,11.99,1.0097603334651988,12.048371114594302
1.42,16.4,1.8,13.861908238045727,1.0084628418612174,13.920440230852526
1.71,18.6,2.1,15.652683476005,1.007124086769011,15.708340063958753
1.99,19.8,2.0,17.53046491111973,1.0059397606051705,17.582451211303027
2.28,26.1,0.6,18.698804774637335,1.0049383991162022,18.74491899263649
2.55,27.7,2.7,19.922020479860972,1.0041423209480975,19.96323953971137
2.84,29.7,2.6,20.791007671587252,1.003361919255391,20.825927191576632
3.13,33.0,3.4,21.517811226981244,1.0027287807654657,21.54714992059644
3.41,34.8,1.2,22.01645975174029,1.0021810678829297,22.040456370933413
3.7,35.0,0.9,21.924235448471173,1.0017462232778065,21.94336940421894
3.98,39.0,10.2,21.89594711356419,1.0014103458152221,21.911382102004804
4.26,35.9,5.4,22.723540657212734,1.001116864892222,22.73622667845178
4.55,40.0,4.1,24.82737400531921,1.0009251287789456,24.838855609541454
4.84,38.7,1.4,27.12151175727489,1.0007665236204848,27.131904405796348
5.12,41.8,0.5,28.330981274922337,1.0006702667979053,28.34047434251712
5.41,42.9,0.4,28.895406209292158,1.0006268673400307,28.904461583599648
5.68,44.4,1.7,29.920482950647706,1.0006126672917675,29.929647197832885
5.97,46.1,1.3,30.779416823585205,1.0006623585081151,30.78960864050937
6.26,49.0,0.9,31.710763157010273,1.0007315929199192,31.722360721129597
6.54,51.9,0.6,32.47910867003588,1.0008322207897542,32.492620754095164
6.83,53.1,2.1,32.45592241795016,1.0009727303534424,32.471704011516685
7.1,54.0,0.5,32.57555218258011,1.001121167338432,32.593808389517086
7.39,55.9,1.1,32.749064108765,1.0013262008051866,32.77077283121354
7.68,58.8,3.6,33.319059110365046,1.0015450283355243,33.344788621214214
7.96,57.3,4.6,33.76046504419037,1.0017802518563612,33.79050274674931
8.25,54.0,9.0,34.0532670972992,1.0020395836702438,34.08797665179919
8.52,63.8,12.0,33.90553494637712,1.0022889794811107,33.944317302952
8.81,60.5,6.2,34.00629500548391,1.002588917193398,34.0502862923503
9.1,61.0,5.7,34.217640187482246,1.0029016825271766,34.267248590917376
9.38,66.0,1.3,34.77264729640238,1.00322730123402,34.82871300137574
9.67,65.2,3.4,35.80586125203526,1.0035689510794716,35.86969902787396
9.96,67.1,4.7,35.81432115788319,1.0039132661071717,35.88432822025953
10.23,67.5,9.3,36.23216526789422,1.0042848934895736,36.309707775873505
