r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.25,4.25,2.0,3.433846240005513,1.0079630888943707,3.4474911414070664
0.41,6.84,2.0,5.14463798532025,1.0073846694338018,5.163598770364064
0.57,9.56,2.0,6.788225099390856,1.0067592010105757,6.811127952297427
0.74,12.3,2.0,9.051143574156804,1.006031293015866,9.078397591205034
0.9,15.1,2.0,10.940100547984008,1.0053490868292827,10.969321297894057
1.07,17.5,2.0,13.004526135157713,1.0047043246982958,13.035079001411116
1.24,19.7,2.0,14.983167221919402,1.0041202167811045,15.014002441132714
1.4,21.8,2.0,16.537185371156724,1.0036094083588902,16.56700321675217
1.57,24.4,2.0,17.883402920026153,1.0031346908138494,17.911410457883857
1.72,27.3,2.0,19.01036822368257,1.0027752843326847,19.0367295348664
1.89,30.3,2.0,20.057180759019946,1.0024317781113434,20.081553257462463
2.06,32.6,2.0,20.81237372334064,1.0021706907281367,20.834950091739525
2.46,33.3,2.0,21.81966544198146,1.001740081740021,21.838641191435062
2.79,34.6,2.0,22.22540213359479,1.0016205521152661,22.243403554706948
3.13,34.2,2.0,21.403518402356188,1.0016908081025202,21.4216053813511
