r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.67,43.8,10.9,59.06929151428854,1.0082045617390487,59.31111533746544
1.32,64.2,7.71,76.4345183801141,1.005466127306934,76.64313409266809
1.97,73.3,8.62,88.74315353873784,1.0033553075025385,88.89190914746283
2.62,84.2,8.4,96.72060483681851,1.001966389126708,96.8156533070364
3.28,96.2,5.67,106.51526181726261,1.0012471993288967,106.58166400105226
3.93,102.0,4.79,115.09558201772994,1.0010475086783095,115.15584805006216
4.58,104.0,5.67,117.59904123758832,1.0012472278435347,117.67235478433973
5.22,106.0,5.37,116.8959956542567,1.0017399272798393,116.99764672297782
5.9,106.0,5.24,116.25294490893552,1.0025496807509777,116.40105450892688
6.54,108.0,5.22,114.05102717643538,1.0034852425569725,114.24960205331571
7.19,111.0,4.68,111.89523761090102,1.004602873125155,112.15246174922106
7.87,114.0,4.61,112.26677380240336,1.005951950031716,112.60038124908955
8.51,116.0,4.47,112.59934857715652,1.0073721820865538,113.01363787549094
9.16,117.0,5.22,111.08508180669446,1.008921743637289,111.57951775872561
9.84,118.0,5.22,107.84435682964593,1.0107070027752116,108.42016455357341
10.48,120.0,4.5,104.6489445718398,1.0125888622798351,105.30559000600854
11.13,121.0,3.62,102.07226508704507,1.0146142981449244,102.8154170313909
11.78,122.0,3.17,99.37440767119068,1.0169362168922715,100.21238777568756
12.43,122.0,2.74,96.86478049322159,1.0193535504382636,97.79762735514788
13.08,122.0,3.18,94.89740354719933,1.0221001057503427,95.94029436298666
13.73,123.0,3.56,93.40537939540742,1.025176120199742,94.57386316849308
14.38,124.0,4.31,91.79864105747971,1.0285822483999207,93.10130415700294
15.03,124.0,4.76,90.1367106122694,1.0324885566188693,91.58921329120186
15.68,123.0,5.23,89.15800020188878,1.0357320882818735,90.73692023555664
