r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.13,232.0,33.4,150.2359274607775,,
0.25,233.0,16.9,221.34306607617054,,
0.38,234.0,14.6,255.04913624633195,,
0.51,235.0,10.6,270.85083477811173,,
0.63,236.0,9.12,278.68015699005196,,
0.76,237.0,10.3,281.90758148726684,1.0068774216541156,282.87531910605713
0.89,238.0,9.95,283.62322718705536,1.0065539678616908,284.55113805345394
1.01,239.0,3.51,285.73818803233144,1.0062553951302216,286.6304974058254
1.14,240.0,3.18,286.57543579309095,1.0059319413377967,287.42415335540466
1.27,240.0,5.19,285.663056064308,1.005608487545372,286.4630048529196
1.39,241.0,3.54,286.50729938345376,1.0053099148139026,287.2669569659608
1.52,242.0,2.6,286.75149677028713,1.004990413095968,287.46611053773614
1.65,242.0,1.75,286.1089825573465,1.004772924300806,286.79095802947063
1.77,243.0,1.94,285.39775349501264,1.004572165412964,286.0494522946004
1.9,244.0,3.09,284.74843300710194,1.0043546766178022,285.36775317634755
2.03,244.0,1.6,284.31134447995566,1.0041371878226402,284.89886215553497
2.16,244.0,3.0,284.1313263264014,1.0039196990274781,284.6876363593202
2.28,245.0,2.19,284.4040077073458,1.0037199384582234,284.93249937742456
2.41,245.0,3.01,285.05680504067954,1.0035202946078021,285.5581062131676
2.54,246.0,2.64,286.065207076988,1.0033206507573809,286.5397747583915
2.66,246.0,2.38,286.9977898869606,1.0031363641262228,287.4475023337676
2.79,246.0,3.72,288.06737215450136,1.0029367202758015,288.49004870759927
2.92,247.0,3.54,288.9426450006991,1.0027370764253802,289.3378038414416
3.04,247.0,3.74,289.64334775720295,1.002556677063366,290.0133736508843
3.17,247.0,5.11,290.1638690464407,1.002409146914905,290.51318248112074
3.3,247.0,3.63,290.47243345970026,1.0022616167664442,290.8007166147072
3.42,247.0,3.84,290.54487174961463,1.0021254350909419,290.85347499056945
3.55,248.0,5.12,290.4431472767089,1.001977904942481,290.73023985463254
3.68,248.0,2.77,290.5971049408442,1.0018303747940203,290.8629341627285
3.8,248.0,3.24,290.52358578951896,1.0016980802282371,290.7701473420245
3.93,248.0,6.79,290.1732544532662,1.0015922393315158,290.4041752038987
4.06,248.0,8.39,289.7389447416415,1.0014863984347941,289.9541985400972
4.18,248.0,2.73,289.1331701828761,1.001388699145513,289.33386002578135
4.31,248.0,13.7,288.36692407417326,1.0012828582487914,288.5518317342146
4.44,248.0,4.89,287.5654883674326,1.00117701735207,287.7346733834805
4.56,248.0,5.71,286.72413920003316,1.0010828513133114,286.8793370027101
4.69,248.0,15.1,285.728781189435,1.0010085888431377,285.87283630592884
4.82,248.0,10.5,284.73645797473847,1.0009343263729638,284.86944530961244
4.94,248.0,1.58,283.76102956537216,1.0008657764004956,283.88383979096335
4.99,248.0,4.77,283.34718262230876,1.000837213911967,283.46576890858347
5.07,248.0,4.36,282.6649997788902,1.0007915139303216,282.77684429411454
5.2,248.0,8.45,281.5218034184919,1.0007172514601477,281.62274628366464
5.45,247.0,8.25,279.348843026063,1.0006144775643846,279.43465664378994
5.58,247.0,2.34,278.0853354637745,1.0005756306336149,278.16536116804565
5.7,247.0,2.34,276.90484015271386,1.0005397719282891,276.97956280053813
5.83,247.0,6.13,275.4356790613736,1.0005009249975196,275.5046567327205
6.47,247.0,6.89,269.2057142781334,1.0003992793463012,269.2594530552816
6.59,246.0,5.95,268.2920843036559,1.0003896840812163,268.34435378919
6.66,246.0,2.29,267.81328775846805,1.0003840868432503,267.86471460098653
6.72,246.0,4.73,267.3547772155942,1.0003792892107077,267.40547480000276
6.85,246.0,3.02,266.5581778899308,1.0003742270913105,266.6080498702941
6.97,246.0,5.81,265.8989471585023,1.0003847439161304,265.9500937405037
7.1,246.0,6.32,265.2550097547641,1.0003961371430188,265.30754323353153
7.23,246.0,8.92,264.70160067517537,1.0004075303699071,264.75553215167554
8.32,246.0,2.13,260.1298331602894,1.000634585408927,260.21235736847626
10.0,245.0,2.18,250.00224198994695,1.001397805013946,250.17690816762257
11.61,245.0,0.94,241.88214340872707,1.00245262647354,242.17858502910005
13.35,246.0,2.02,228.11165752762395,1.0038870993767095,228.55457387101674
14.98,245.0,1.33,216.4616072193866,1.0054228097400046,217.04772874333136
16.61,245.0,1.36,207.00943577528056,1.0071329639475044,207.74641931236815
18.34,245.0,1.59,199.7369565203195,1.0091344615668647,200.64712754107114
19.97,245.0,2.03,194.92224449764578,1.0111650149313454,196.00737890483282
21.6,245.0,2.36,189.69921375693679,1.0133836125404736,190.96442494107373
23.33,244.0,4.61,185.11781383756667,1.0159544698576086,186.5886985471917
26.7,243.0,10.6,176.8507783415159,1.0216243076024725,178.7526892716945
29.95,239.0,17.0,168.58438391499968,1.0286402041914664,170.98148728369188
33.32,231.0,18.3,160.36144237315904,1.038893080163397,163.45017151260464
