galaxy,N,chi2_over_N
CamB,8,0.06436710792252892
D631-7,16,1.9237796048648736
DDO064,13,1.8487811780473524
DDO154,12,2.767948336651926
DDO161,31,0.0678944451022727
DDO168,9,2.2733594713071263
DDO170,8,0.553535219971589
ESO079-G014,13,5.35068149877344
ESO116-G012,14,0.9217572976685158
ESO444-G084,7,5.8185821253027985
ESO563-G021,27,16.636676192658335
F563-1,17,3.3121684902317434
F563-V2,9,3.658095853188507
F565-V2,7,2.8922132235313076
F568-1,10,4.015393654866031
F568-3,16,1.0681142166555313
F568-V1,14,3.980005003012773
F571-8,12,2.6204443845985073
F571-V1,7,0.4109397790348738
F574-1,12,1.4594690996512458
F579-V1,13,2.564415448641849
F583-1,23,2.8920750468576744
F583-4,10,0.5243700123040149
IC2574,33,0.20888327260601358
IC4202,30,29.043482970413493
KK98-251,14,0.6954247867232096
NGC0024,27,4.753856059833224
NGC0055,19,0.9304057099782463
NGC0100,20,0.26442061795098903
NGC0247,25,1.0738016924980989
NGC0289,28,9.640834991842226
NGC0300,25,1.0297014112893168
NGC0801,13,39.68608625706276
NGC0891,18,54.99396887591317
NGC1003,36,1.1535252177869393
NGC1090,22,24.364525577280777
NGC1705,14,5.835960238515816
NGC2366,25,0.9687400360397533
NGC2403,71,0.6351180086445509
NGC2683,11,17.64978025916542
NGC2841,50,8.033334489954933
NGC2903,33,19.209089532872397
NGC2915,30,6.391132184010179
NGC2955,23,50.179923199684985
NGC2976,25,0.6998664284414906
NGC2998,11,22.5392300414066
NGC3109,24,3.8948791166177625
NGC3198,41,5.589661631932681
NGC3521,40,10.967533827382107
NGC3726,12,34.17027001113997
NGC3741,21,3.612567133912491
NGC3769,12,5.335861831976207
NGC3877,12,30.64733962023692
NGC3893,10,14.062894978690332
NGC3917,16,5.271004489647601
NGC3949,7,8.175832769898554
NGC3953,8,42.31968241522466
NGC3972,10,1.7252473958647687
NGC3992,9,24.73485193126526
NGC4010,11,4.081617922980432
NGC4013,36,26.932380226961648
NGC4051,7,32.871502320398136
NGC4085,7,7.435550055161221
NGC4088,12,71.38664247522517
NGC4100,24,15.876292713051233
NGC4138,7,8.085786260569883
NGC4157,17,39.998221602631986
NGC4183,22,2.553402631459292
NGC4214,14,4.478093976463678
NGC4217,18,37.96258330527275
NGC4559,32,9.59661034316164
NGC5005,17,19.04741028334071
NGC5033,22,14.028964167017064
NGC5055,28,39.375270946946955
NGC5371,18,81.18962777923814
NGC5585,21,0.14027247915964264
NGC5907,19,28.184933454545774
NGC5985,33,9.443175292138354
NGC6015,43,5.1388197569716025
NGC6195,21,71.89740169665
NGC6503,31,1.3681876109904698
NGC6674,15,10.772628746092689
NGC6946,56,27.965946311070216
NGC7331,36,68.06966387101635
NGC7793,37,0.7558710810259248
NGC7814,17,7.868549974285421
UGC00128,21,0.9830587313740399
UGC00191,8,2.42962253224248
UGC00731,12,3.710879657882531
UGC01230,10,0.9816948568659039
UGC01281,23,1.8977101810527064
UGC02259,8,4.704082054192266
UGC02455,8,6.700530820576784
UGC02487,17,11.588963955003988
UGC02885,18,22.656903413234538
UGC02916,39,21.644715562181926
UGC02953,104,15.965596609544132
UGC03205,45,16.50648569075434
UGC03546,30,17.081306359540942
UGC03580,44,3.373408024219077
UGC04278,22,2.0189102308517075
UGC04305,21,1.127067032163198
UGC04325,8,5.394953866644128
UGC04483,8,0.860266832970928
UGC04499,9,0.5155442576945126
UGC05005,11,0.11608139253780327
UGC05253,63,12.98435113396585
UGC05716,12,2.170471692250913
UGC05721,22,5.48656541461948
UGC05750,10,0.2761306954512348
UGC05764,10,5.591671540642465
UGC05829,11,1.1931253434750861
UGC05918,8,2.132132328332358
UGC05986,15,1.3696934458841568
UGC06399,9,1.4434047309820301
UGC06446,17,3.4698562048199464
UGC06614,13,27.323622811100947
UGC06628,7,3.559945454599149
UGC06667,8,8.429570025205042
UGC06786,41,4.429784692354242
UGC06787,63,6.511646030680471
UGC06818,8,0.3155369182035366
UGC06917,11,0.556207417776968
UGC06930,10,1.8863345190999978
UGC06973,9,29.270308722319285
UGC06983,17,0.6301462110136535
UGC07089,12,0.39955912442389746
UGC07125,13,2.323376625472734
UGC07151,11,0.8687695343787291
UGC07261,7,1.116124243041677
UGC07323,9,0.22944586076988852
UGC07399,10,10.183742742768619
UGC07524,27,1.2880826350512125
UGC07559,7,0.5584966163184171
UGC07577,9,0.03134281035249128
UGC07603,12,3.7872165788981227
UGC07608,8,3.8464900531204487
UGC07690,7,1.1879911968667394
UGC07866,7,0.739414570813342
UGC08286,17,4.4115333484815356
UGC08490,30,3.1562214492510705
UGC08550,11,3.3161808175198004
UGC08699,36,7.191312299068443
UGC08837,8,0.15488493001464626
UGC09037,22,37.79949059894569
UGC09133,65,22.150543245340238
UGC10310,7,1.0530640652889676
UGC11455,33,54.86997539399387
UGC11557,11,10.356707365779284
UGC11820,7,1.265303244698747
UGC11914,60,7.736373094687449
UGC12506,30,5.624794407113545
UGC12632,14,1.4632233468189084
UGC12732,16,1.5093024890848876
UGCA442,8,2.938383849053702
UGCA444,32,1.9113082128005305
