kernel,zeta_on,ml_disk,gext_ratio,median,mean,status
accel,True,0.8,0.0,3.582,7.455,ok
accel,True,0.8,0.02,3.607,7.462,ok
accel,True,0.8,0.05,3.629,7.467,ok
accel,True,1.0,0.0,3.871,10.624,ok
accel,True,1.0,0.02,3.914,10.626,ok
accel,True,1.0,0.05,3.952,10.626,ok
accel,True,1.2,0.0,3.573,14.442,ok
accel,True,1.2,0.02,3.59,14.441,ok
accel,True,1.2,0.05,3.609,14.437,ok
accel,False,0.8,0.0,3.582,7.455,ok
accel,False,0.8,0.02,3.607,7.462,ok
accel,False,0.8,0.05,3.629,7.467,ok
accel,False,1.0,0.0,3.871,10.624,ok
accel,False,1.0,0.02,3.914,10.626,ok
accel,False,1.0,0.05,3.952,10.626,ok
accel,False,1.2,0.0,3.573,14.442,ok
accel,False,1.2,0.02,3.59,14.441,ok
accel,False,1.2,0.05,3.609,14.437,ok
time,True,0.8,0.0,3.648,7.422,ok
time,True,0.8,0.02,3.648,7.422,ok
time,True,0.8,0.05,3.648,7.422,ok
time,True,1.0,0.0,4.013,10.572,ok
time,True,1.0,0.02,4.013,10.572,ok
time,True,1.0,0.05,4.013,10.572,ok
time,True,1.2,0.0,3.74,14.402,ok
time,True,1.2,0.02,3.74,14.402,ok
time,True,1.2,0.05,3.74,14.402,ok
time,False,0.8,0.0,3.648,7.422,ok
time,False,0.8,0.02,3.648,7.422,ok
time,False,0.8,0.05,3.648,7.422,ok
time,False,1.0,0.0,4.013,10.572,ok
time,False,1.0,0.02,4.013,10.572,ok
time,False,1.0,0.05,4.013,10.572,ok
time,False,1.2,0.0,3.74,14.402,ok
time,False,1.2,0.02,3.74,14.402,ok
time,False,1.2,0.05,3.74,14.402,ok
blend,True,0.8,0.0,3.419,7.423,ok
blend,True,0.8,0.02,3.445,7.424,ok
blend,True,0.8,0.05,3.468,7.42,ok
blend,True,1.0,0.0,3.782,10.602,ok
blend,True,1.0,0.02,3.833,10.595,ok
blend,True,1.0,0.05,3.878,10.581,ok
blend,True,1.2,0.0,3.557,14.433,ok
blend,True,1.2,0.02,3.534,14.418,ok
blend,True,1.2,0.05,3.574,14.396,ok
blend,False,0.8,0.0,3.419,7.423,ok
blend,False,0.8,0.02,3.445,7.424,ok
blend,False,0.8,0.05,3.468,7.42,ok
blend,False,1.0,0.0,3.782,10.602,ok
blend,False,1.0,0.02,3.833,10.595,ok
blend,False,1.0,0.05,3.878,10.581,ok
blend,False,1.2,0.0,3.557,14.433,ok
blend,False,1.2,0.02,3.534,14.418,ok
blend,False,1.2,0.05,3.574,14.396,ok
