galaxy,N,chi2_over_N
NGC5371,18,81.87755229072626
NGC6195,21,71.35722082939614
NGC4088,12,70.84988945153624
NGC7331,36,67.64652115401377
UGC11455,33,54.469175074491545
NGC0891,18,53.92660183751905
NGC2955,23,49.48506487538639
NGC3953,8,41.65767698306931
NGC0801,13,40.642762576666534
NGC4157,17,40.03457792867327
NGC5055,28,39.54105030696207
UGC09037,22,38.15375176220291
NGC4217,18,37.28202469624771
NGC3726,12,34.30182791749759
NGC4051,7,32.42316002639384
NGC3877,12,30.122783526338235
NGC5907,19,29.047637831918543
IC4202,30,28.883239749080495
UGC06973,9,28.127133530000528
NGC6946,56,27.83767816227772
