g_bar,g_obs
8.50880451448714e-12,1.8514455526927274e-12
9.65137974554013e-12,2.6210105626996852e-12
1.0390331057626577e-11,3.4924360123935753e-12
1.0060232591632463e-11,4.277741772881112e-12
9.277785250492182e-12,5.087186196945426e-12
8.046962485258651e-12,5.739564187286847e-12
7.012057966414046e-12,6.221646143875567e-12
4.888832970669487e-12,7.313801380898418e-12
1.226759559300065e-11,5.093115863757471e-12
1.5244131201843447e-11,1.1407791459638513e-11
1.7039139723002327e-11,1.622620676411992e-11
1.4530051487002233e-11,1.7188917692806223e-11
1.14181090228271e-11,1.7341254410599847e-11
9.35643763536971e-12,1.8134903521600125e-11
7.544886295619006e-12,1.8640273930757767e-11
6.238204886115206e-12,1.8768921375535488e-11
5.226263771872974e-12,1.910127500112292e-11
4.373296603527389e-12,1.936498909508709e-11
3.711178995647052e-12,1.9698730849257844e-11
3.1561964560760974e-12,1.925964046138104e-11
2.7081261818730634e-12,1.8924173687621517e-11
2.338101091446369e-12,1.7630521757318297e-11
2.032890953881894e-12,1.6006478958289664e-11
1.7758304587003802e-12,1.479736654477081e-11
4.9490818751350175e-12,2.086951825448261e-11
6.2109659158543525e-12,1.609374793339241e-11
9.391008481501309e-12,1.5899762367682002e-11
8.495142979894705e-12,1.8432282071260566e-11
8.739944228745383e-12,2.087705946357328e-11
9.720812169990002e-12,3.1301401176606523e-11
1.142605664640661e-11,3.591305985181552e-11
1.2150919667931984e-11,3.7682467672746356e-11
1.2265364515105967e-11,3.694946980874505e-11
1.1692687820928264e-11,3.354105389102149e-11
1.0836801699304235e-11,3.060132301340999e-11
1.0531845191705565e-11,2.943687430098088e-11
8.565343812933057e-12,2.3918475731491424e-11
1.0946321107833934e-11,1.2594071977462406e-11
8.750960676106496e-12,1.527131326224003e-11
6.258854285263877e-12,1.8286814033735613e-11
5.108941313480561e-12,1.9352010553638337e-11
4.221563492958929e-12,1.9144051364264897e-11
3.7915958732549795e-12,1.9311274982046208e-11
3.5571506973503317e-12,1.862934977654071e-11
3.1267463514278447e-12,1.7586076769731818e-11
2.6178564338804134e-12,1.639750573645583e-11
2.191541531429651e-12,1.5239517108739744e-11
1.8376873398428595e-12,1.3407905243068858e-11
1.553425671296702e-12,1.1331963444325726e-11
1.1072612875351048e-11,1.3825880319723483e-11
1.1902751267323037e-11,1.223199779827591e-11
1.2186454957874272e-11,1.318897487705387e-11
1.3184285185234172e-11,1.3226288571164045e-11
1.3691431305685612e-11,1.3869086195722617e-11
1.5469990152426966e-11,1.7574340759693966e-11
