galaxy,xi2_proxy
CamB,0.7956614435318464
D512-2,0.9187610819665742
D564-8,0.7122666917739616
D631-7,0.5577057907885348
DDO064,0.7205086149563122
DDO154,0.8137761035329623
DDO161,0.6449390037548435
DDO168,0.36135139438261404
DDO170,0.6040538892132081
ESO079-G014,0.9772322466064634
ESO116-G012,0.9522715742965586
ESO444-G084,0.6505156724248778
ESO563-G021,0.9971481658315399
F561-1,0.8613749783930577
F563-1,0.8705791163436818
F563-V1,0.7265778138227963
F563-V2,0.9142777910398434
F565-V2,0.574975749366664
F567-2,0.8652173495783239
F568-1,0.83728855435008
F568-3,0.9379729118931135
F568-V1,0.9391408342580783
F571-8,0.9983562664693421
F571-V1,0.8380656111852239
F574-1,0.9353774118601715
F574-2,0.7973852458686732
F579-V1,0.9629732173844034
F583-1,0.922934624133637
F583-4,0.9458026927216497
IC2574,0.7961304399845605
IC4202,0.3950419220614393
KK98-251,0.37829165885475596
NGC0024,0.9695255804231182
NGC0055,0.6045427159985735
NGC0100,0.9757758918682676
NGC0247,0.8721477886669738
NGC0289,0.999368237355274
NGC0300,0.965884001596774
NGC0801,0.9996220395337924
NGC0891,0.5003810026023219
NGC1003,0.9693192182672268
NGC1090,0.9946342910638616
NGC1705,0.9479109291261347
NGC2366,0.854098682913887
NGC2403,0.9938731399544526
NGC2683,0.8664036048523982
NGC2841,0.5467520408613982
NGC2903,0.9989733501124446
NGC2915,0.9823427834441212
NGC2955,0.3886142896657247
NGC2976,0.9385819582068068
NGC2998,0.9979419528639507
NGC3109,0.5069519924453518
NGC3198,0.9971452279042954
NGC3521,0.9983594190386903
NGC3726,0.9885491385753205
NGC3741,0.9103427665184775
NGC3769,0.9813045011603508
NGC3877,0.9893706328926699
NGC3893,0.9870168358552476
NGC3917,0.9734824795893703
NGC3949,0.9878148484439307
NGC3953,0.9967764712692903
NGC3972,0.9693189954739907
NGC3992,0.9926319538991717
NGC4010,0.9493872859532231
NGC4013,0.800184881061129
NGC4051,0.9928673233624898
NGC4068,0.8153118572596205
NGC4085,0.9896827564438232
NGC4088,0.9895719003477853
NGC4100,0.9893890646329544
NGC4138,0.7412352020989402
NGC4157,0.9215870660103174
NGC4183,0.8993480897179243
NGC4214,0.944392752311925
NGC4217,0.08512517730249741
NGC4389,0.991000473739759
NGC4559,0.9843457654463103
NGC5005,0.4887538352814634
NGC5033,0.29443915729241765
NGC5055,0.9996229928210777
NGC5371,0.9971785350072703
NGC5585,0.9783917909166991
NGC5907,0.9931150878414463
NGC5985,0.8124981906406268
NGC6015,0.9942784559383593
NGC6195,0.338740728019669
NGC6503,0.9947720619973793
NGC6674,0.586772665564207
NGC6789,0.8088562444924968
NGC6946,0.5409776446433499
NGC7331,0.902580507773048
NGC7793,0.983877293804598
NGC7814,0.07641770796338189
PGC51017,0.7633193817379125
UGC00128,0.9124444244434289
UGC00191,0.9448644418702851
UGC00634,0.8004105848919525
UGC00731,0.4562744396191186
UGC00891,0.6463592622349279
UGC01230,0.9049425865386346
UGC01281,0.7667063587101723
UGC02023,0.8881990975544446
UGC02259,0.8879192026485399
UGC02455,0.980323200873087
UGC02487,0.6372279644283634
UGC02885,0.3269294610730991
UGC02916,0.09921512900825821
UGC02953,0.432727183489279
UGC03205,0.5103137768812718
UGC03546,0.1833938934641838
UGC03580,0.3279041643564175
UGC04278,0.8816449659842256
UGC04305,0.8581409136642348
UGC04325,0.8691920513697995
UGC04483,0.7073644917386602
UGC04499,0.8713320890913626
UGC05005,0.9102339213071482
UGC05253,0.1621825097992848
UGC05414,0.8032427082763632
UGC05716,0.9316613110685772
UGC05721,0.9465308094189161
UGC05750,0.8343011707841088
UGC05764,0.5876109339256712
UGC05829,0.6558187722950539
UGC05918,0.7459139424498054
UGC05986,0.955665787919301
UGC05999,0.8046339071170926
UGC06399,0.9107466855196353
UGC06446,0.8653715686554339
UGC06614,0.16423206351870007
UGC06628,0.8999424347710776
UGC06667,0.5455116604621099
UGC06786,0.2959851991136661
UGC06787,0.09265944153947761
UGC06818,0.9597303209960847
UGC06917,0.9601050935550779
UGC06923,0.9169406702747509
UGC06930,0.8988447876499079
UGC06973,0.8603521921206622
UGC06983,0.9927991755862793
UGC07089,0.8991729733893685
UGC07125,0.857329868047137
UGC07151,0.9604107089579897
UGC07232,0.9080935055317617
UGC07261,0.9712558149114185
UGC07323,0.942087738392343
UGC07399,0.9591718122559529
UGC07524,0.7741706577326348
UGC07559,0.8024683965848057
UGC07577,0.8085953752915752
UGC07603,0.9211330247103255
UGC07608,0.643405613067145
UGC07690,0.9658704261630843
UGC07866,0.8401290156941489
UGC08286,0.9124901950052025
UGC08490,0.95080157018811
UGC08550,0.9236336770002178
UGC08699,0.27407063117369523
UGC08837,0.799413234618273
UGC09037,0.973299494263149
UGC09133,0.2641776228782472
UGC09992,0.8556658540765155
UGC10310,0.9066873959754548
UGC11455,0.9973927091889031
UGC11557,0.9782126914229053
UGC11820,0.9286124297482884
UGC11914,0.3597902226640296
UGC12506,0.9426123027001195
UGC12632,0.8015657714198909
UGC12732,0.9396579198965253
UGCA281,0.8300927737011199
UGCA442,0.35734089653730905
UGCA444,0.12374793833386041
